Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7nf","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",145.000000,-48.000000,90.000000,top
"C2","100nf","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",144.352572,-74.535528,-90.000000,top
"C3","10uf","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",141.658883,-70.000000,180.000000,top
"C4","2uf","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",117.000000,-57.432500,90.000000,top
"C5","10uf","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",141.658883,-72.000000,180.000000,top
"C6","100nf","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",149.525000,-61.000000,180.000000,top
"CR1","PESD1CAN_215","SOT23_PESD1_NEX",140.000000,-56.000000,0.000000,top
"L1","3.3uH C2849498","L_APV_ANR5040",145.850000,-70.000000,0.000000,top
"R2","R","R_0402_1005Metric",124.000000,-57.680000,90.000000,top
"R3","60R","R_0402_1005Metric",146.000000,-50.000000,-90.000000,top
"R4","60R","R_0402_1005Metric",144.000000,-50.000000,90.000000,top
"R5","0R","R_0402_1005Metric",117.680000,-48.000000,0.000000,top
"R6","10K","R_0402_1005Metric",115.680000,-48.000000,-90.000000,top
"R7","100K","R_0402_1005Metric",142.906730,-74.267764,90.000000,top
"R8","13.7K","R_0402_1005Metric",141.000000,-74.000000,-90.000000,top
"U2","SN65HVD230DR","SOIC-8_3.9x4.9mm_P1.27mm",144.525000,-62.000000,180.000000,top
"U3","LMR51430","SOT-23-6",147.000000,-75.000000,-90.000000,top
